Vehicle Name,Hybrid,SuggestedRetailPrice,EngineSize,Cylinders,Horsepower,HighwayMPG,Weight,WheelBase
Chevrolet Aveo 4dr,0,11690,1.6,4,103,34,2370,98
Chevrolet Aveo LS 4dr hatch,0,12585,1.6,4,103,34,2348,98
Chevrolet Cavalier 2dr,0,14610,2.2,4,140,37,2617,104
Chevrolet Cavalier 4dr,0,14810,2.2,4,140,37,2676,104
Chevrolet Cavalier LS 2dr,0,16385,2.2,4,140,37,2617,104
Dodge Neon SE 4dr,0,13670,2,4,132,36,2581,105
Dodge Neon SXT 4dr,0,15040,2,4,132,36,2626,105
Ford Focus ZX3 2dr hatch,0,13270,2,4,130,33,2612,103
Ford Focus LX 4dr,0,13730,2,4,110,36,2606,103
Ford Focus SE 4dr,0,15460,2,4,130,33,2606,103
Ford Focus ZX5 5dr,0,15580,2,4,130,33,2691,103
Honda Civic DX 2dr,0,13270,1.7,4,115,38,2432,103
Honda Civic HX 2dr,0,14170,1.7,4,117,44,2500,103
Honda Civic LX 4dr,0,15850,1.7,4,115,38,2513,103
Hyundai Accent 2dr hatch,0,10539,1.6,4,103,33,2255,96
Hyundai Accent GL 4dr,0,11839,1.6,4,103,33,2290,96
Hyundai Accent GT 2dr hatch,0,11939,1.6,4,103,33,2339,96
Hyundai Elantra GLS 4dr,0,13839,2,4,138,34,2635,103
Hyundai Elantra GT 4dr,0,15389,2,4,138,34,2635,103
Hyundai Elantra GT 4dr hatch,0,15389,2,4,138,34,2698,103
Kia Optima LX 4dr,0,16040,2.4,4,138,30,3281,106
Kia Rio 4dr manual,0,10280,1.6,4,104,33,2403,95
Kia Rio 4dr auto,0,11155,1.6,4,104,32,2458,95
Kia Spectra 4dr,0,12360,1.8,4,124,32,2661,101
Kia Spectra GS 4dr hatch,0,13580,1.8,4,124,32,2686,101
Kia Spectra GSX 4dr hatch,0,14630,1.8,4,124,32,2697,101
Mini Cooper,0,16999,1.6,4,115,37,2524,97
Nissan Sentra 1.8 4dr,0,12740,1.8,4,126,35,2513,100
Nissan Sentra 1.8 S 4dr,0,14740,1.8,4,126,35,2581,100
Pontiac Sunfire 1SA 2dr,0,15495,2.2,4,140,33,2771,104
Saturn Ion1 4dr,0,10995,2.2,4,140,35,2692,103
Saturn lon2 4dr,0,14300,2.2,4,140,35,2692,103
Saturn lon3 4dr,0,15825,2.2,4,140,35,2692,103
Saturn lon2 quad coupe 2dr,0,14850,2.2,4,140,35,2751,103
Saturn lon3 quad coupe 2dr,0,16350,2.2,4,140,35,2751,103
Scion xA 4dr hatch,0,12965,1.5,4,108,38,2340,93
Suzuki Aeno S 4dr,0,12884,2.3,4,155,31,2676,98
Suzuki Aerio LX 4dr,0,14500,2.3,4,155,31,2676,98
Suzuki Forenza S 4dr,0,12269,2,4,119,31,2701,102
Suzuki Forenza EX 4dr,0,15568,2,4,119,30,2756,102
Toyota Corolla CE 4dr,0,14085,1.8,4,130,40,2502,102
Toyota Corolla S 4dr,0,15030,1.8,4,130,40,2524,102
Toyota Corolla LE 4dr,0,15295,1.8,4,130,40,2524,102
Toyota Echo 2dr manual,0,10760,1.5,4,108,43,2035,93
Toyota Echo 2dr auto,0,11560,1.5,4,108,39,2085,93
Toyota Echo 4dr,0,11290,1.5,4,108,43,2055,93
Buick Century Custom 4dr,0,22180,3.1,6,175,30,3353,109
Chevrolet Impala 4dr,0,21900,3.4,6,180,32,3465,111
Chevrolet Malibu 4dr,0,18995,2.2,4,145,34,3174,106
Chevrolet Malibu LS 4dr,0,20370,3.5,6,200,30,3297,106
Chevrolet Monte Carlo LS 2dr,0,21825,3.4,6,180,32,3340,111
Chrysler PT Cruiser 4dr,0,17985,2.4,4,150,29,3101,103
Chrysler PT Cruiser Limited 4dr,0,22000,2.4,4,150,29,3105,103
Chrysler Sebring 4dr,0,19090,2.4,4,150,30,3173,108
Chrysler Sebring Touring 4dr,0,21840,2.7,6,200,28,3222,108
Dodge Intrepid SE 4dr,0,22035,2.7,6,200,29,3469,113
Dodge Stratus SXT 4dr,0,18820,2.4,4,150,28,3182,108
Dodge Stratus SE 4dr,0,20220,2.4,4,150,28,3175,108
Ford Focus SVT 2dr,0,19135,2,4,170,28,2750,103
Ford Taurus LX 4dr,0,20320,3,6,155,27,3306,109
Ford Taurus SES Duratec 4dr,0,22735,3,6,201,26,3313,109
Honda Accord LX 2dr,0,19860,2.4,4,160,34,2994,105
Honda Accord EX 2dr,0,22260,2.4,4,160,34,3047,105
Honda Civic EX 4dr,0,17750,1.7,4,127,37,2601,103
Honda Civic Si 2dr hatch,0,19490,2,4,160,30,2782,101
Honda Civic Hybrid 4dr manual (gas/electric),1,20140,1.4,4,93,51,2732,103
Honda Insight 2dr (gas/electric),1,19110,2,3,73,66,1850,95
Hyundai Sonata GLS 4dr,0,19339,2.7,6,170,27,3217,106
Hyundai Sonata LX 4dr,0,20339,2.7,6,170,27,3217,106
Kia Optima LX V6 4dr,0,18435,2.7,6,170,27,3279,106
Mazda6 i 4dr,0,19270,2.3,4,160,32,3042,105
Mercury Sable GS 4dr,0,21595,3,6,155,27,3308,109
Mini Cooper S,0,19999,1.6,4,163,34,2678,97
Nissan Altima S 4dr,0,19240,2.5,4,175,26,3039,110
Nissan Sentra SE-R 4dr,0,17640,2.5,4,165,28,2761,100
Oldsmobile Alero GX 2dr,0,18825,2.2,4,140,32,2946,107
Pontiac Grand Am GT 2dr,0,22450,3.4,6,175,29,3118,107
Pontiac Grand Prix GT1 4dr,0,22395,3.8,6,200,30,3477,111
Pontiac Sunfire 1SC 2dr,0,17735,2.2,4,140,33,2771,104
Saturn L300-2 4dr,0,21410,3,6,182,28,3197,107
Subaru Impreza 2.5 RS 4dr,0,19945,2.5,4,165,28,2965,99
Subaru Legacy L 4dr,0,20445,2.5,4,165,28,3285,104
Suzuki Verona LX 4dr,0,17262,2.5,6,155,27,3380,106
Toyota Camry LE 4dr,0,19560,2.4,4,157,33,3086,107
Toyota Camry LE V6 4dr,0,22775,3,6,210,29,3296,107
Toyota Camry Solara SE 2dr,0,19635,2.4,4,157,33,3175,107
Toyota Camry Solara SE V6 2dr,0,21965,3.3,6,225,29,3417,107
Toyota Prius 4dr (gas/electric),1,20510,1.5,4,110,51,2890,106
Volkswagen Golf GLS 4dr,0,18715,2,4,115,31,2897,99
Volkswagen GTI 1.8T 2dr hatch,0,19825,1.8,4,180,31,2934,99
Volkswagen Jetta GLS TDI 4dr,0,21055,1.9,4,100,46,3003,99
Volkswagen New Beetle GLS 1.8T 2dr,0,21055,1.8,4,150,31,2820,99
Acura RSX Type S 2dr,0,23820,2,4,200,31,2778,101
Acura TSX 4dr,0,26990,2.4,4,200,29,3230,105
Audi A4 1.8T 4dr,0,25940,1.8,4,170,31,3252,104
BMW 325i 4dr,0,28495,2.5,6,184,29,3219,107
Buick LeSabre Custom 4dr,0,26470,3.8,6,205,29,3567,112
Buick Regal LS 4dr,0,24895,3.8,6,200,30,3461,109
Buick Regal GS 4dr,0,28345,3.8,6,240,28,3536,109
Chevrolet Impala LS 4dr,0,25000,3.8,6,200,30,3476,111
Chevrolet Impala SS 4dr,0,27995,3.8,6,240,28,3606,111
Chevrolet Malibu LT 4dr,0,23495,3.5,6,200,32,3315,106
Chevrolet Monte Carlo SS 2dr,0,24225,3.8,6,200,28,3434,111
Chrysler 300M 4dr,0,29865,3.5,6,250,27,3581,113
Chrysler Concorde LX 4dr,0,24130,2.7,6,200,29,3479,113
Chrysler Concorde LXi 4dr,0,26860,3.5,6,232,27,3548,113
Chrvsler PT Cruiser GT 4dr,0,25955,2.4,4,220,27,3217,103
Chrysler Sebring convertible 2dr,0,25215,2.4,4,150,30,3357,106
Dodge Intrepid ES 4dr,0,24885,3.5,6,232,27,3487,113
Ford Crown Victoria 4dr,0,24345,4.6,8,224,25,4057,115
Ford Crown Victoria LX 4dr,0,27370,4.6,8,224,25,4057,115
Honda Accord LX V6 4dr,0,23760,3,6,240,30,3349,108
Honda Accord EX V6 2dr,0,26960,3,6,240,30,3294,105
Hyundai XG350 4dr,0,24589,3.5,6,194,26,3651,108
Hyundai XG350 L 4dr,0,26189,3.5,6,194,26,3651,108
Infiniti G35 4dr,0,28495,3.5,6,260,26,3336,112
Infiniti G35 Sport Coupe 2dr,0,29795,3.5,6,280,26,3416,112
Jaguar X-Type 2.5 4dr,0,29995,2.5,6,192,26,3428,107
Mercedes-Benz C230 Sport 2dr,0,26060,1.8,4,189,30,3250,107
Mercedes-Benz C320 Sport 2dr,0,28370,3.2,6,215,26,3430,107
Mercury Grand Marquis GS 4dr,0,24695,4.6,8,224,25,4052,115
Mercury Grand Marquis LS Premium 4dr,0,29595,4.6,8,224,25,4052,115
Mercury Sable LS Premium 4dr,0,23895,3,6,201,26,3315,109
Mitsubishi Diamante LS 4dr,0,29282,3.5,6,205,25,3549,107
Mitsubishi Galant GTS 4dr,0,25700,3.8,6,230,26,3649,108
Nissan Altima SE 4dr,0,23290,3.5,6,245,26,3197,110
Nissan Maxima SE 4dr,0,27490,3.5,6,265,28,3473,111
Nissan Maxima SL 4dr,0,29440,3.5,6,265,28,3476,111
Oldsmobile Alero GLS 2dr,0,23675,3.4,6,170,29,3085,107
Pontiac Grand Prix GT2 4dr,0,24295,3.8,6,200,30,3484,111
Subaru Legacy GT 4dr,0,25645,2.5,4,165,28,3395,104
Subaru Outback Limited Sedan 4dr,0,27145,2.5,4,165,27,3495,104
Subaru Outback H6 4dr,0,29345,3,6,212,26,3610,104
Toyota Avalon XL 4dr,0,26560,3,6,210,29,3417,107
Toyota Camry XLE V6 4dr,0,25920,3,6,210,29,3362,107
Toyota Camry Solara SLE V6 2dr,0,26510,3.3,6,225,29,3439,107
Volkswagen Jetta GLI VR6 4dr,0,23785,2.8,6,200,30,3179,99
Volkswagen New Beetle GLS convertible 2dr,0,23215,2,4,115,30,3082,99
Volkswagen Passat GLS 4dr,0,23955,1.8,4,170,31,3241,106
Volvo S40 4dr,0,25135,1.9,4,170,29,2767,101
Acura TL 4dr,0,33195,3.2,6,270,28,3575,108
Audi A41.8T convertible 2dr,0,35940,1.8,4,170,30,3638,105
Audi A4 3.0 4dr,0,31840,3,6,220,28,3462,104
